locus_id,population,ra,dec,n_det,num_mag_values,num_alerts,timespan_d,brightest_mag,n_distinct_ssname,frac_det_ssname,mag_minus_ssmagnr,ndethist_med,distnr_med_as,hist_span_d,stellar_cats,galaxy_cats,var_cats,tags,verdict,reason
ANT2020anbdu,alerted,261.07274,-17.94317,548,548,850,2926.0,13.86,3,0.01,3.97,467.5,0.15,2571.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020anbfo,alerted,258.92178,-20.23391,947,946,1647,2961.9,14.6,14,0.02,3.05,1049,0.25,2615.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,gaia_dr3_variability,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aniau,alerted,262.93936,-15.51169,611,611,966,2923.0,14.26,4,0.01,4.05,748.5,0.31,2561.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020anjms,alerted,261.74029,-18.22901,508,508,899,2926.0,14.09,7,0.02,5.46,523.0,0.19,2534.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020anlfs,alerted,261.78436,-19.50035,473,471,875,2893.0,15.14,2,0.0,4.62,662,0.21,2522.0,2mass_psc;allwise;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_snr;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020anpi4,alerted,262.45231,-19.72794,256,256,670,2678.8,14.46,4,0.02,2.43,298,0.46,2300.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability,,gaia_dr3_variability,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020anzzy,alerted,269.90231,-16.12235,604,604,814,2667.8,13.93,2,0.0,6.31,719,0.09,2596.0,2mass_psc;allwise;asassn_variable_catalog;asassn_variable_catalog_v2_20190802;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,asassn_variable_catalog;asassn_variable_catalog_v2_20190802;gaia_dr3_variability;vsx,high_amplitude_variable_star_candidate;high_flux_ratio_wrt_nn;lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aonyg,alerted,278.0497,-8.55977,820,820,1281,2933.0,15.78,3,0.01,2.61,955.5,0.27,2563.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source,,,lc_feature_extractor;sso_candidates,STATIONARY_UNTYPED,"fixed-position source: deep history and/or reference counterpart, no variability catalogue"
ANT2020aoofs,alerted,278.40673,-7.46064,333,333,1730,2957.8,17.43,2,0.01,2.34,834.0,0.39,2547.0,2mass_psc;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;vsx,,vsx,lc_feature_extractor;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
ANT2020aoqqi,alerted,282.00615,-12.08562,604,603,1204,2907.1,14.31,4,0.01,5.12,759.0,0.3,2435.0,2mass_psc;allwise;bright_guide_star_cat;gaia_dr2;gaia_dr3_gaia_source;gaia_dr3_variability;vsx,,gaia_dr3_variability;vsx,high_flux_ratio_wrt_nn;lc_feature_extractor;matheson_extreme_vpdf;sso_candidates,STATIONARY_VARIABLE_STAR,variable-star catalogue/tag + deep detection history at fixed position
